34 156 
1 2 0.001 
1 3 0.001 
1 4 0.001 
1 5 0.001 
1 6 0.001 
1 7 0.001 
1 8 0.001 
1 9 0.001 
1 11 0.001 
1 12 0.001 
1 13 0.001 
1 14 0.001 
1 18 0.001 
1 20 0.001 
1 22 0.001 
1 32 0.001 
2 3 0.001 
2 4 0.001 
2 8 0.001 
2 14 0.001 
2 18 0.001 
2 20 0.001 
2 22 0.001 
2 31 0.001 
3 4 0.001 
3 8 0.001 
3 9 0.001 
3 10 0.001 
3 14 0.001 
3 28 0.001 
3 29 0.001 
3 33 0.001 
4 8 0.001 
4 13 0.001 
4 14 0.001 
5 7 0.001 
5 11 0.001 
6 7 0.001 
6 11 0.001 
6 17 0.001 
7 17 0.001 
9 31 0.001 
9 33 0.001 
9 34 0.001 
10 34 0.001 
14 34 0.001 
15 33 0.001 
15 34 0.001 
16 33 0.001 
16 34 0.001 
19 33 0.001 
19 34 0.001 
20 34 0.001 
21 33 0.001 
21 34 0.001 
23 33 0.001 
23 34 0.001 
24 26 0.001 
24 28 0.001 
24 30 0.001 
24 33 0.001 
24 34 0.001 
25 26 0.001 
25 28 0.001 
25 32 0.001 
26 32 0.001 
27 30 0.001 
27 34 0.001 
28 34 0.001 
29 32 0.001 
29 34 0.001 
30 33 0.001 
30 34 0.001 
31 33 0.001 
31 34 0.001 
32 33 0.001 
32 34 0.001 
33 34 0.001 
2 1 0.001 
3 1 0.001 
4 1 0.001 
5 1 0.001 
6 1 0.001 
7 1 0.001 
8 1 0.001 
9 1 0.001 
11 1 0.001 
12 1 0.001 
13 1 0.001 
14 1 0.001 
18 1 0.001 
20 1 0.001 
22 1 0.001 
32 1 0.001 
3 2 0.001 
4 2 0.001 
8 2 0.001 
14 2 0.001 
18 2 0.001 
20 2 0.001 
22 2 0.001 
31 2 0.001 
4 3 0.001 
8 3 0.001 
9 3 0.001 
10 3 0.001 
14 3 0.001 
28 3 0.001 
29 3 0.001 
33 3 0.001 
8 4 0.001 
13 4 0.001 
14 4 0.001 
7 5 0.001 
11 5 0.001 
7 6 0.001 
11 6 0.001 
17 6 0.001 
17 7 0.001 
31 9 0.001 
33 9 0.001 
34 9 0.001 
34 10 0.001 
34 14 0.001 
33 15 0.001 
34 15 0.001 
33 16 0.001 
34 16 0.001 
33 19 0.001 
34 19 0.001 
34 20 0.001 
33 21 0.001 
34 21 0.001 
33 23 0.001 
34 23 0.001 
26 24 0.001 
28 24 0.001 
30 24 0.001 
33 24 0.001 
34 24 0.001 
26 25 0.001 
28 25 0.001 
32 25 0.001 
32 26 0.001 
30 27 0.001 
34 27 0.001 
34 28 0.001 
32 29 0.001 
34 29 0.001 
33 30 0.001 
34 30 0.001 
33 31 0.001 
34 31 0.001 
33 32 0.001 
34 32 0.001 
34 33 0.001 
