10 62 
1 2 0.05 
1 4 0.05 
1 5 0.05 
1 7 0.05 
1 8 0.05 
1 9 0.05 
2 4 0.05 
2 5 0.05 
2 6 0.05 
2 9 0.05 
3 4 0.05 
3 6 0.05 
3 7 0.05 
3 8 0.05 
3 9 0.05 
4 5 0.05 
4 7 0.05 
4 8 0.05 
5 6 0.05 
5 7 0.05 
5 8 0.05 
5 9 0.05 
5 10 0.05 
6 8 0.05 
6 9 0.05 
7 8 0.05 
7 9 0.05 
7 10 0.05 
8 9 0.05 
8 10 0.05 
9 10 0.05 
2 1 0.05 
4 1 0.05 
5 1 0.05 
7 1 0.05 
8 1 0.05 
9 1 0.05 
4 2 0.05 
5 2 0.05 
6 2 0.05 
9 2 0.05 
4 3 0.05 
6 3 0.05 
7 3 0.05 
8 3 0.05 
9 3 0.05 
5 4 0.05 
7 4 0.05 
8 4 0.05 
6 5 0.05 
7 5 0.05 
8 5 0.05 
9 5 0.05 
10 5 0.05 
8 6 0.05 
9 6 0.05 
8 7 0.05 
9 7 0.05 
10 7 0.05 
9 8 0.05 
10 8 0.05 
10 9 0.05 
