34 78 
1 2 0.01 
1 3 0.01 
1 4 0.01 
1 5 0.01 
1 6 0.01 
1 7 0.01 
1 8 0.01 
1 9 0.01 
1 11 0.01 
1 12 0.01 
1 13 0.01 
1 14 0.01 
1 18 0.01 
1 20 0.01 
1 22 0.01 
1 32 0.01 
2 3 0.01 
2 4 0.01 
2 8 0.01 
2 14 0.01 
2 18 0.01 
2 20 0.01 
2 22 0.01 
2 31 0.01 
3 4 0.01 
3 8 0.01 
3 9 0.01 
3 10 0.01 
3 14 0.01 
3 28 0.01 
3 29 0.01 
3 33 0.01 
4 8 0.01 
4 13 0.01 
4 14 0.01 
5 7 0.01 
5 11 0.01 
6 7 0.01 
6 11 0.01 
6 17 0.01 
7 17 0.01 
9 31 0.01 
9 33 0.01 
9 34 0.01 
10 34 0.01 
14 34 0.01 
15 33 0.01 
15 34 0.01 
16 33 0.01 
16 34 0.01 
19 33 0.01 
19 34 0.01 
20 34 0.01 
21 33 0.01 
21 34 0.01 
23 33 0.01 
23 34 0.01 
24 26 0.01 
24 28 0.01 
24 30 0.01 
24 33 0.01 
24 34 0.01 
25 26 0.01 
25 28 0.01 
25 32 0.01 
26 32 0.01 
27 30 0.01 
27 34 0.01 
28 34 0.01 
29 32 0.01 
29 34 0.01 
30 33 0.01 
30 34 0.01 
31 33 0.01 
31 34 0.01 
32 33 0.01 
32 34 0.01 
33 34 0.01 
