34 156 
1 2 0.01 
1 3 0.01 
1 4 0.01 
1 5 0.01 
1 6 0.01 
1 7 0.01 
1 8 0.01 
1 9 0.01 
1 11 0.01 
1 12 0.01 
1 13 0.01 
1 14 0.01 
1 18 0.01 
1 20 0.01 
1 22 0.01 
1 32 0.01 
2 3 0.01 
2 4 0.01 
2 8 0.01 
2 14 0.01 
2 18 0.01 
2 20 0.01 
2 22 0.01 
2 31 0.01 
3 4 0.01 
3 8 0.01 
3 9 0.01 
3 10 0.01 
3 14 0.01 
3 28 0.01 
3 29 0.01 
3 33 0.01 
4 8 0.01 
4 13 0.01 
4 14 0.01 
5 7 0.01 
5 11 0.01 
6 7 0.01 
6 11 0.01 
6 17 0.01 
7 17 0.01 
9 31 0.01 
9 33 0.01 
9 34 0.01 
10 34 0.01 
14 34 0.01 
15 33 0.01 
15 34 0.01 
16 33 0.01 
16 34 0.01 
19 33 0.01 
19 34 0.01 
20 34 0.01 
21 33 0.01 
21 34 0.01 
23 33 0.01 
23 34 0.01 
24 26 0.01 
24 28 0.01 
24 30 0.01 
24 33 0.01 
24 34 0.01 
25 26 0.01 
25 28 0.01 
25 32 0.01 
26 32 0.01 
27 30 0.01 
27 34 0.01 
28 34 0.01 
29 32 0.01 
29 34 0.01 
30 33 0.01 
30 34 0.01 
31 33 0.01 
31 34 0.01 
32 33 0.01 
32 34 0.01 
33 34 0.01 
2 1 0.01 
3 1 0.01 
4 1 0.01 
5 1 0.01 
6 1 0.01 
7 1 0.01 
8 1 0.01 
9 1 0.01 
11 1 0.01 
12 1 0.01 
13 1 0.01 
14 1 0.01 
18 1 0.01 
20 1 0.01 
22 1 0.01 
32 1 0.01 
3 2 0.01 
4 2 0.01 
8 2 0.01 
14 2 0.01 
18 2 0.01 
20 2 0.01 
22 2 0.01 
31 2 0.01 
4 3 0.01 
8 3 0.01 
9 3 0.01 
10 3 0.01 
14 3 0.01 
28 3 0.01 
29 3 0.01 
33 3 0.01 
8 4 0.01 
13 4 0.01 
14 4 0.01 
7 5 0.01 
11 5 0.01 
7 6 0.01 
11 6 0.01 
17 6 0.01 
17 7 0.01 
31 9 0.01 
33 9 0.01 
34 9 0.01 
34 10 0.01 
34 14 0.01 
33 15 0.01 
34 15 0.01 
33 16 0.01 
34 16 0.01 
33 19 0.01 
34 19 0.01 
34 20 0.01 
33 21 0.01 
34 21 0.01 
33 23 0.01 
34 23 0.01 
26 24 0.01 
28 24 0.01 
30 24 0.01 
33 24 0.01 
34 24 0.01 
26 25 0.01 
28 25 0.01 
32 25 0.01 
32 26 0.01 
30 27 0.01 
34 27 0.01 
34 28 0.01 
32 29 0.01 
34 29 0.01 
33 30 0.01 
34 30 0.01 
33 31 0.01 
34 31 0.01 
33 32 0.01 
34 32 0.01 
34 33 0.01 
