30 196 
1 3 0.01 
1 6 0.01 
1 7 0.01 
1 14 0.01 
1 15 0.01 
1 18 0.01 
1 19 0.01 
2 5 0.01 
2 13 0.01 
2 14 0.01 
2 16 0.01 
3 9 0.01 
3 10 0.01 
3 12 0.01 
3 14 0.01 
3 22 0.01 
3 25 0.01 
3 28 0.01 
3 29 0.01 
3 30 0.01 
4 8 0.01 
4 9 0.01 
4 13 0.01 
4 22 0.01 
4 23 0.01 
4 24 0.01 
4 25 0.01 
4 27 0.01 
4 30 0.01 
5 17 0.01 
5 25 0.01 
6 9 0.01 
6 12 0.01 
6 16 0.01 
6 18 0.01 
6 21 0.01 
6 29 0.01 
7 19 0.01 
7 21 0.01 
7 23 0.01 
8 11 0.01 
8 19 0.01 
8 21 0.01 
8 22 0.01 
8 24 0.01 
8 29 0.01 
9 14 0.01 
9 26 0.01 
9 29 0.01 
10 17 0.01 
10 20 0.01 
11 12 0.01 
11 14 0.01 
11 16 0.01 
11 17 0.01 
11 23 0.01 
11 27 0.01 
12 13 0.01 
12 16 0.01 
13 15 0.01 
13 16 0.01 
13 18 0.01 
13 19 0.01 
13 21 0.01 
13 22 0.01 
13 24 0.01 
14 15 0.01 
14 17 0.01 
14 24 0.01 
14 26 0.01 
14 30 0.01 
15 21 0.01 
15 27 0.01 
15 28 0.01 
15 29 0.01 
16 21 0.01 
16 27 0.01 
17 23 0.01 
17 30 0.01 
18 19 0.01 
18 23 0.01 
18 27 0.01 
18 30 0.01 
19 23 0.01 
20 21 0.01 
20 27 0.01 
20 29 0.01 
21 22 0.01 
21 30 0.01 
22 23 0.01 
22 26 0.01 
22 28 0.01 
23 28 0.01 
23 30 0.01 
26 28 0.01 
26 30 0.01 
27 29 0.01 
29 30 0.01 
3 1 0.01 
6 1 0.01 
7 1 0.01 
14 1 0.01 
15 1 0.01 
18 1 0.01 
19 1 0.01 
5 2 0.01 
13 2 0.01 
14 2 0.01 
16 2 0.01 
9 3 0.01 
10 3 0.01 
12 3 0.01 
14 3 0.01 
22 3 0.01 
25 3 0.01 
28 3 0.01 
29 3 0.01 
30 3 0.01 
8 4 0.01 
9 4 0.01 
13 4 0.01 
22 4 0.01 
23 4 0.01 
24 4 0.01 
25 4 0.01 
27 4 0.01 
30 4 0.01 
17 5 0.01 
25 5 0.01 
9 6 0.01 
12 6 0.01 
16 6 0.01 
18 6 0.01 
21 6 0.01 
29 6 0.01 
19 7 0.01 
21 7 0.01 
23 7 0.01 
11 8 0.01 
19 8 0.01 
21 8 0.01 
22 8 0.01 
24 8 0.01 
29 8 0.01 
14 9 0.01 
26 9 0.01 
29 9 0.01 
17 10 0.01 
20 10 0.01 
12 11 0.01 
14 11 0.01 
16 11 0.01 
17 11 0.01 
23 11 0.01 
27 11 0.01 
13 12 0.01 
16 12 0.01 
15 13 0.01 
16 13 0.01 
18 13 0.01 
19 13 0.01 
21 13 0.01 
22 13 0.01 
24 13 0.01 
15 14 0.01 
17 14 0.01 
24 14 0.01 
26 14 0.01 
30 14 0.01 
21 15 0.01 
27 15 0.01 
28 15 0.01 
29 15 0.01 
21 16 0.01 
27 16 0.01 
23 17 0.01 
30 17 0.01 
19 18 0.01 
23 18 0.01 
27 18 0.01 
30 18 0.01 
23 19 0.01 
21 20 0.01 
27 20 0.01 
29 20 0.01 
22 21 0.01 
30 21 0.01 
23 22 0.01 
26 22 0.01 
28 22 0.01 
28 23 0.01 
30 23 0.01 
28 26 0.01 
30 26 0.01 
29 27 0.01 
30 29 0.01 
